corp_empl,description_corps_empl,categorie,corps_emploi
0105,Commissaire,Services administratifs et indirecte,
0106,Représ. Parents,Services administratifs et indirecte,
0107,Étudiant activité sport.,Soutien direct,
0109,Membre du CA,Services administratifs et indirecte,
0110,Tuteur,Soutien direct,
0505,Louage de services n/a,Services administratifs et indirecte,
1000,Directeur général,Services administratifs et indirecte,Gestionnaire
1001,Directeur général adjoint,Services administratifs et indirecte,Gestionnaire
1030,ÉP-Directeur général,Services administratifs et indirecte,Gestionnaire
1031,ÉP-Directeur gén.adjoint,Services administratifs et indirecte,Gestionnaire
1101,Directeur général,Services administratifs et indirecte,Gestionnaire
1102,Directeur général adjoint,Services administratifs et indirecte,Gestionnaire
1103,N/A Cons. cadre  dir gén,Services administratifs et indirecte,Gestionnaire
1111,Dir. services éducatifs,Services administratifs et indirecte,Gestionnaire
1112,Dir. des services des RH,Services administratifs et indirecte,Gestionnaire
1113,Dir. des services autres,Services administratifs et indirecte,Gestionnaire
1114,Dir. des services,Services administratifs et indirecte,Gestionnaire
1130,Dir. centre éduc. adultes,Services administratifs et indirecte,Gestionnaire
1135,Dir. serv. éduc. adultes,Services administratifs et indirecte,Gestionnaire
1140,Dir. centre form. prof.,Services administratifs et indirecte,Gestionnaire
1141,ÉP-Dir.services éducatifs,Services administratifs et indirecte,Gestionnaire
1142,ÉP-Dir. services des RH,Services administratifs et indirecte,Gestionnaire
1143,ÉP-Dir. services autres,Services administratifs et indirecte,Gestionnaire
1144,ÉP-Dir. des services,Services administratifs et indirecte,Gestionnaire
1145,Dir. serv. form. prof.,Services administratifs et indirecte,Gestionnaire
1150,Dir. d'école primaire,Professionnels direct,Gestionnaire
1155,Dir. d'école secondaire,Professionnels direct,Gestionnaire
1160,ÉP-Dir.centre édu.adultes,Professionnels direct,Gestionnaire
1165,ÉP-Dir.serv.éduc. adultes,Professionnels direct,Gestionnaire
1170,ÉP-Dir. centre form. prof,Professionnels direct,Gestionnaire
1175,ÉP-Dir. serv. form. prof.,Professionnels direct,Gestionnaire
1180,ÉP-Dir. d'école primaire,Professionnels direct,Gestionnaire
1185,ÉP-Dir.d'école secondaire,Professionnels direct,Gestionnaire
1190,ÉP-Dir. école spécialisée,Professionnels direct,Gestionnaire
1201,Dir. serv. enseignement,Professionnels direct,Gestionnaire
1202,Dir. serv. enseig. prim.,Professionnels direct,Gestionnaire
1203,Dir. serv. enseig. sec.,Professionnels direct,Gestionnaire
1204,Dir. serv. aux étudiants,Professionnels direct,Gestionnaire
1205,Dir. serv. financier,Services administratifs et indirecte,Gestionnaire
1206,Dir. serv. équipement,Services administratifs et indirecte,Gestionnaire
1207,Dir. serv. personnel,Services administratifs et indirecte,Gestionnaire
1208,Secrétaire général,Services administratifs et indirecte,Gestionnaire
1209,Dir. adjoint des services,Services administratifs et indirecte,Gestionnaire
1210,Dir. de  zones,Services administratifs et indirecte,Gestionnaire
1211,Dir. adjoint serv. éduc.,Services administratifs et indirecte,Gestionnaire
1212,Dir. adjoint services RH,Services administratifs et indirecte,Gestionnaire
1213,Dir. adjoint serv. autres,Services administratifs et indirecte,Gestionnaire
1214,Secrétaire général,Services administratifs et indirecte,Gestionnaire
1230,Dir.adj.centre éduc.adul.,Services administratifs et indirecte,Gestionnaire
1231,Dir. adj. serv.équipement,Services administratifs et indirecte,Gestionnaire
1232,Dir. adj. serv. ens.,Services administratifs et indirecte,Gestionnaire
1233,Dir.adj. serv. financiers,Services administratifs et indirecte,Gestionnaire
1236,Dir. adj. serv. tech. inf,Services administratifs et indirecte,Gestionnaire
1239,ÉP-Dir. adj. des services,Services administratifs et indirecte,Gestionnaire
1240,Dir.adj.centre form.prof.,Professionnels direct,Gestionnaire
1241,ÉP-Dir.adjoint serv.éduc.,Professionnels direct,Gestionnaire
1242,ÉP-Dir. adj. services RH,Services administratifs et indirecte,Gestionnaire
1243,ÉP-Dir. adj. serv. autres,Services administratifs et indirecte,Gestionnaire
1244,ÉP-Secrétaire général,Services administratifs et indirecte,Gestionnaire
1250,Dir.adj.d'école primaire,Professionnels direct,Gestionnaire
1255,Dir.ad.d'école secondaire,Professionnels direct,Gestionnaire
1260,ÉP-Dir.adj.cen.éduc.adul.,Professionnels direct,Gestionnaire
1270,ÉP-Dir.adj.cen.form.prof.,Professionnels direct,Gestionnaire
1280,ÉP-Dir.adj.école primaire,Professionnels direct,Gestionnaire
1285,ÉP-Dir. ad. école second.,Professionnels direct,Gestionnaire
1301,Coord. ens. général,Services administratifs et indirecte,Gestionnaire
1302,Coord. ens. professionel,Services administratifs et indirecte,Gestionnaire
1303,Coord. ens. primaire,Services administratifs et indirecte,Gestionnaire
1304,Coord. adapt. scolaire,Services administratifs et indirecte,Gestionnaire
1305,Coord. mesure et évaluat.,Services administratifs et indirecte,Gestionnaire
1306,Coord. moyens enseig. A,Services administratifs et indirecte,Gestionnaire
1307,Coord. moyens enseig. B,Services administratifs et indirecte,Gestionnaire
1308,Coord. serv. personnel,Services administratifs et indirecte,Gestionnaire
1309,Coord. serv. financiers,Services administratifs et indirecte,Gestionnaire
1310,Coord. serv. équipement,Services administratifs et indirecte,Gestionnaire
